River,Site,Plot,Transect,Azi,Fine1,Fine2,Fine3,Sound,Medium,Rotten
Waccamaw,Upper,1,1,AZ092,9,2,2,0.000000,0.000000,0.000000
Waccamaw,Upper,1,2,AZ229,15,4,2,0.000000,0.000000,0.000000
Waccamaw,Upper,2,3,AZ135,10,8,2,0.000000,0.000000,0.007225
Waccamaw,Upper,2,4,AZ019,10,4,1,0.000000,0.000000,0.000000
Waccamaw,Middle,1,1,AZ273,8,4,2,0.000000,0.008464,0.000000
Waccamaw,Middle,1,2,AZ030,17,8,2,0.000000,0.007225,0.121850
Waccamaw,Middle,2,3,AZ182,14,9,4,0.000000,0.030625,0.000000
Waccamaw,Middle,2,4,AZ250,10,2,2,0.000000,0.021904,0.000000
Waccamaw,Lower,1,1,AZ041,1,5,2,0.000000,0.018944,0.000000
Waccamaw,Lower,1,2,AZ138,2,3,6,0.000000,0.244043,0.024698
Waccamaw,Lower,2,3,AZ306,5,8,3,0.000000,0.072880,0.166930
Waccamaw,Lower,2,4,AZ043,10,6,6,0.000000,0.057606,0.117800
Waccamaw,Marsh,1,1,AZ041,0,0,0,0.000000,0.000000,0.000000
Waccamaw,Marsh,1,2,AZ325,0,0,0,0.000000,0.000000,0.000000
Waccamaw,Marsh,2,3,AZ316,0,0,0,0.000000,0.000000,0.000000
Waccamaw,Marsh,2,4,AZ195,0,0,0,0.000000,0.000000,0.000000
Savannah,Upper,1,1,AZ213,28,6,1,0.000000,0.000000,0.000000
Savannah,Upper,1,2,AZ164,21,2,0,0.006084,0.000000,0.050898
Savannah,Upper,2,3,AZ130,5,2,1,0.000000,0.000000,0.014884
Savannah,Upper,2,4,AZ037,8,4,0,0.000000,0.000000,0.008464
Savannah,Middle,1,1,AZ040,18,7,1,0.000000,0.011664,0.007396
Savannah,Middle,1,2,AZ171,14,3,0,0.000000,0.000000,0.000000
Savannah,Middle,2,3,AZ219,7,3,3,0.000000,0.014884,0.000000
Savannah,Middle,2,4,AZ071,13,3,2,0.000000,0.000000,0.006724
Savannah,Lower,1,1,AZ322,3,1,0,0.000000,0.027556,0.000000
Savannah,Lower,1,2,AZ078,15,1,3,0.000000,0.014400,0.016384
Savannah,Lower,2,3,AZ096,2,1,1,0.000000,0.007225,0.000000
Savannah,Lower,2,4,AZ188,0,4,2,0.024025,0.000000,0.045929
Savannah,Marsh,1,1,AZ041,0,0,0,0.000000,0.000000,0.000000
Savannah,Marsh,1,2,AZ325,0,0,0,0.000000,0.000000,0.000000
Savannah,Marsh,2,3,AZ316,0,0,0,0.000000,0.000000,0.000000
Savannah,Marsh,2,4,AZ195,0,0,0,0.000000,0.000000,0.000000
