citation,plotName,biomass,units
Megonigal_Dissertation,OakRiverUpper93,12083,gOM_m2
Megonigal_Dissertation,OakRiverUpper94,12328,gOM_m2
Megonigal_Dissertation,OakRiverLower93,14079,gOM_m2
Megonigal_Dissertation,OakRiverLower94,14069,gOM_m2
Krauss_et_al_dataReleaseInPrep,SavannahRiverLower2005,738.2,MgC_ha
Krauss_et_al_dataReleaseInPrep,SavannahRiverLower2012,738.2,MgC_ha
Krauss_et_al_dataReleaseInPrep,SavannahRiverMiddle2005,343.9,MgC_ha
Krauss_et_al_dataReleaseInPrep,SavannahRiverMiddle2012,343.9,MgC_ha
Krauss_et_al_dataReleaseInPrep,SavannahRiverUpper2005,573.8,MgC_ha
Krauss_et_al_dataReleaseInPrep,SavannahRiverUpper2012,573.8,MgC_ha
Krauss_et_al_dataReleaseInPrep,WaccamawRiverLower2005,357.2,MgC_ha
Krauss_et_al_dataReleaseInPrep,WaccamawRiverLower2012,357.2,MgC_ha
Krauss_et_al_dataReleaseInPrep,WaccamawRiverMiddle2005,284.1,MgC_ha
Krauss_et_al_dataReleaseInPrep,WaccamawRiverMiddle2012,284.1,MgC_ha
Krauss_et_al_dataReleaseInPrep,WaccamawRiverUpper2005,139.1,MgC_ha
Krauss_et_al_dataReleaseInPrep,WaccamawRiverUpper2012,139.1,MgC_ha
