"","perPixelScaler","scalerSE","scalerCI","originalArea","estimatedArea","estimatedAreaSE","estimatedAreaCI","producer_accuracy","se","ci","user_accuracy","se.1","ci.1","Class.Name"
"HID",1.1924440474429,0.00323673403696822,0.00634399871245771,11972473,14276504.1620208,38751.710865783,75953.3532969347,0.802514503247526,0.0290371136777377,0.0569127428083658,0.956953642384106,0.0116985061249067,0.0229290720048172,"High Intensity Developed"
"MID",0.93417748874783,0.00401620766557588,0.00787176702452872,31568295,29490390.5471507,126784.828368161,248498.263601595,0.88312982269122,0.026201368862474,0.0513546829704491,0.825,0.0200538967378726,0.0393056376062304,"Medium Intensity Developed"
"LID",0.885171195202516,0.00508266015268523,0.00996201389926304,69128619,61190662.3029293,351357.277201459,688660.263314859,0.899903466999664,0.0217495558865433,0.0426291295376248,0.79656862745098,0.0199536963508893,0.039109244847743,"Low Intensity Developed"
"OSD",1.47108306350203,0.0101136553621875,0.0198227645098875,36000555,52959806.7371732,364097.206117475,713630.523990252,0.558963111947771,0.0301708499231988,0.0591348658494696,0.822281167108753,0.0197143732887355,0.0386401716459215,"Developed Open Space"
"CULT",0.941742815467666,0.00653075065182338,0.0128002712775738,241031842,226990005.502438,1574118.85925169,3085272.96413331,0.881654690819807,0.0114480316105364,0.0224381419566513,0.83029197080292,0.0160499229168374,0.0314578489170013,"Cultivated"
"PAST",0.8545351935767,0.00723607581225254,0.014182708592015,161591750,138085837.366648,1169290.15363456,2291808.70112374,0.85387363476077,0.0167000867218693,0.0327321699748638,0.729665071770335,0.0217492773831131,0.0426285836709017,"Pasture/Hay"
"GRS",1.15011519364465,0.00794209277328334,0.0155665018356354,110176311,126715449.260818,875030.483380118,1715059.74742503,0.698962095481569,0.0198978434316832,0.038999773126099,0.803886925795053,0.0167042327490964,0.032740296188229,"Grassland"
"DEC",0.983479178053368,0.00593281356258273,0.0116283145826621,271623231,267135791.96408,1611489.98878934,3158520.37802711,0.899966936788036,0.0097710775337353,0.0191513119661212,0.885098743267504,0.0135244887091876,0.0265079978700078,"Deciduous Forest"
"EVR",1.02749482855052,0.00573572653990223,0.0112420240182084,336791175,346051190.613954,1931742.08085236,3786214.47847062,0.895629990382798,0.00899194748121854,0.0176242170631883,0.920255183413078,0.0108272509125533,0.0212214117886045,"Evergreen Forest"
"MIX",1.08560296975464,0.00794394232128157,0.0155701269497119,134711568,146243278.281104,1070140.9262014,2097476.21535474,0.777749509078657,0.0195436280633155,0.0383055110040984,0.844327176781003,0.0186472968756134,0.0365487018762022,"Mixed Forest"
"SS",0.927856249278261,0.00768306541210871,0.0150588082077331,230972631,214309399.085592,1774577.83237985,3478172.5514645,0.790534674570146,0.0159879882408625,0.0313364569520906,0.733502538071066,0.0157601368002423,0.0308898681284749,"Scrub/Shrub"
"PFW",0.995897869665313,0.00500767105626693,0.00981503527028317,204752637,203912714.996655,1025333.85399923,2009654.35383849,0.919902592588077,0.00986946627640352,0.0193441539017509,0.916129032258065,0.0128684180122445,0.0252220993039993,"Palustrine Forested Wetland"
"PSS",1.03450255586352,0.00694289642521677,0.0136080769934249,55229429,57134985.4593828,383452.205170863,751566.322134892,0.767181085394533,0.0296140112827112,0.0580434621141139,0.793650793650794,0.0208422909301147,0.0408508902230248,"Palustrine Scrub/Shrub Wetland"
"PEM",1.14819162974304,0.00736910333359832,0.0144434425338527,47505151,54545016.7478791,350070.366597191,686137.918530495,0.725006860306879,0.030160572956947,0.0591147229956161,0.832446808510638,0.0192858579974095,0.0378002816749225,"Palustrine Emergent Wetland"
"EFW",0.952380952380952,0.00149453663893336,0.00292929181230939,2240780,2134076.19047619,3348.9278097891,6563.89850718664,1,0,0,0.952380952380952,0.0476190476190476,0.0933333333333334,"Estuarine Forested Wetland"
"ESS",0.827956203111637,0.00296651889418473,0.00581437703260207,1148499,950906.871317512,3407.04398345227,6677.80620756645,0.867133690466371,0.116018291403408,0.22739585115068,0.717948717948718,0.072999343245876,0.143078712761917,"Estuarine Scrub/Shrub Wetland"
"EEM",0.978548390655643,0.003646270614348,0.00714669040412208,21570048,21107335.756765,78650.2321724759,154154.455058053,0.919729681837181,0.0286570636402155,0.0561678447348223,0.9,0.0218217890235992,0.0427707064862545,"Estuarine Emergent Wetland"
"UCS",0.942474706046022,0.00324831001419177,0.00636668762781587,5014860,4726378.70436195,16289.8199577697,31928.0471172287,0.824153880272499,0.0554495363484723,0.108681091243006,0.776744186046512,0.028466462928031,0.0557942673389407,"Unconsolidated Shore"
"BARE",1.4175558815269,0.00850132862951941,0.0166626041138581,16436336,23299424.7675524,139730.693801201,273872.159850353,0.585803612786454,0.0409015299934592,0.0801669987871799,0.830409356725146,0.0203221602308205,0.0398314340524081,"Bare Land"
"OW",0.989720682928432,0.00279777943850642,0.00548364769947258,281929486,279031443.421582,788776.519039483,1546001.97731739,0.982865835476068,0.00337127177493439,0.0066076926788714,0.972762645914397,0.00718666197799793,0.014085857476876,"Water"
"PAB",1.54218405682959,0.00661667757400886,0.0129686880450574,487236,751407.591113423,3223.88351444978,6318.81168832157,0.472313961814534,0.138975050511975,0.27239109900347,0.728395061728395,0.0497287260768465,0.0974683031106191,"Palustrine Aquatic Bed"
"EAB",1.17150107192471,0.00796355131392077,0.0156085605752847,2114697,2477369.80229596,16840.4980728943,33007.3762228729,0.761896002369549,0.16897402941377,0.33118909765099,0.892561983471074,0.0282688121925406,0.0554068718973796,"Estuarine Aquatic Bed"
"SNOW",1.57981816967577,0.012436544079064,0.0243756263949654,824798,1303030.86671224,10257.6366833238,20104.9678993147,0.587771077960195,0.242654399544266,0.475602623106762,0.928571428571428,0.0495634761777651,0.0971444133084196,"Snow/Ice"
